6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
0	0	0	0	0.451	35.97	125.14	195.38	193.78	117.88	20.45	0.22	0	0	0
0	0	0	0	15.321	84.43	246.20	386.60	389.32	338.61	203.14	52.51	1.32	0	0
0	0	0	16.3242	210.94	423.02	694.65	870.53	787.00	807.41	659.44	402.95	94.81	2.193	0
0	0	1.034	67.54	312.74	653.82	938.35	964.36	944.63	778.29	623.72	367.72	137.65	13.46	0
0	0	15.7758	158.426	398.38	699.97	727.23	761.56	662.09	637.43	518.91	352.09	223.51	38.16	0.03
0	0.6	39.0393	259.195	533.97	793.92	788.66	732.21	643.17	697.65	511.79	291.04	168.41	65.17	5.23
0	0.3225	24.551	205.634	410.35	626.37	765.49	676.52	673.90	600.34	538.36	353.32	196.89	78.29	7.00
0	0	4.48387	106.265	378.12	574.80	675.42	643.50	597.50	558.71	348.36	220.99	148.51	38.00	0.38
0	0	1.73333	59.167	298.76	644.38	883.42	840.94	791.48	686.91	534.38	230.52	71.005	1.7	0
0	0	0	5	73.519	219.18	368.33	480.53	508.77	398.79	160.19	37.93	1.838	0	0
0	0	0	0	11.344	54.25	101.45	114.66	87.89	56.75	24.14	0	0	0	0
0	0	0	0	0	39.93	158.42	204.02	169.74	90.749	0.51	0	0	0	0
